SlaT-2853-n28	narro	v#v-w820_MPf5_MP	narro-04	v#00953216	
2853a6	facio	v#v-w76_MPf45_MP	facio-23	v#01712704	
SlaT-2854-n1	colo	v#v-w589_MPf5_MP	colo2-08/colo2-15	v#01742726/v#02554422	
2855a1	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2855-n4	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2856-n1	valeo	v#v-w622_MPf4_MP	ualeo-07	v#02536557	
2856a1	valeo	v#v-w622_MPf4_MP	ualeo-07	v#02536557	
SlaT-2857-n2	exerceo	v#v-w251_MPf6_MP	exerceo-17	v#02375131	
SlaT-2857-n7	certo	v#v-w755_MPf3_MP	certo-06	v#01092366	
2858a1	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2858-n2	supplicium	v#v-w1159_MPf4_MP	supplicium-02	n#01041968	
2858a2	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2858-n7	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2859-n1	curo	v#v-w676_MPf3_MP	curo-14	v#02549847	
SlaT-2859-n10	evenio	v#v-w724_MPf3_MP	euenio-02	v#00344174	
SlaT-2860-n1	habeo	v#v-w73_MPf54_MP	habeo-07	v#00689950	
SlaT-2860-n9	vindico	v#v-w24_MPf10_MP	uindico-11	v#02499629	
SlaT-2860-n22	pugno	v#v-w627_MPf4_MP	pugno-07	v#01092366	
SlaT-2860-n26	excedo	v#v-w81_MPf13_MP	excedo-11	v#02009433	
SlaT-2860-n29	revoco	v#v-w705_MPf4_MP	reuoco-13	v#02004874	
2860a4	vindico	v#v-w24_MPf10_MP	uindico-11	v#02499629	
SlaT-2860-n12	audeo	v#v-w479_MPf1_MP	audeo-03	v#02374924	
SlaT-2860-n15	relinquo	v#v-w69_MPf17_MP	relinquo-05	v#01842367	
SlaT-2860-n17	cedo	v#v-w583_MPf4_MP	cedo-18	v#01904120	
SlaT-2860-n19	pello	v#v-w632_MPf5_MP	pello-10	v#02002720	
2861a1	habeo	v#v-w73_MPf55_MP	habeo-07	v#00689950	
SlaT-2861-n4	agito	v#v-w631_MPf4_MP	agito-NEW-16	v#02445509	direct the course of; manage or control
2861a4	agito	v#v-w631_MPf4_MP	agito-NEW-16	v#02445509	direct the course of; manage or control
SlaT-2861-n9	ignosco	v#v-w787_MPf2_MP	ignosco-02	v#00903385	
SlaT-2861-n10	accipio	v#v-w217_MPf31_MP	accipio-01	v#00065639	
SlaT-2861-n12	persequor	v#v-w825_MPf2_MP	persequor-NEW-10		prosecute
SlaT-2862-n2	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761	
SlaT-2862-n4	cresco	v#v-w648_MPf3_MP	cresco-03	v#00230746	
SlaT-2862-n10	domo	v#v-w778_MPf4_MP	domo-05	v#01108148	
SlaT-2862-n14	subigo	v#v-w856_MPf4_MP	subigo-12	v#02496816	
SlaT-2862-n21	intereo	v#v-w1160_MPf1_MP	intereo-03	v#00427397	
SlaT-2862-n23	aemulus	v#v-w1161_MPf1_MP			
SlaT-2862-n27	pateo	v#v-w128_MPf12_MP	pateo-02	v#01346804	
SlaT-2862-n34	saevio	v#v-w828_MPf2_MP	saeuio-02	v#02723016	
SlaT-2862-n35	misceo	v#v-w619_MPf4_MP	misceo-07	v#01418667	
SlaT-2863-n1	sum	v#v-w2_MPf236_MP	doppio dativo?		
SlaT-2863-n3	toleror	v#v-w1162_MPf1_MP	tolero-02	v#00668099	
SlaT-2863-n17	opto	v#v-w599_MPf2_MP	opto-04	v#01825237	
2864a1	cresco	v#v-w648_MPf3_MP	cresco-03	v#00230746	
2864a3	cupido	v#v-w1129_MPf2_MP	cupido-03	n#04946078	
SlaT-2864-n5	cresco	v#v-w648_MPf3_MP	cresco-03	v#00230746	
SlaT-2864-n7	cupido	v#v-w1129_MPf2_MP	cupido-03	n#04946078	
SlaT-2865-n1	sum	v#v-w2_MPf100_MP	identity-91		
SlaT-2866-n3	subverto	v#v-w1163_MPf1_MP	subuerto-03/subuerto-02	v#01565028/v#01564144	
SlaT-2867-n1	edoceo	v#v-w553_MPf2_MP	edoceo-01	v#00829107	
SlaT-2867-n6	neglego	v#v-w1164_MPf1_MP	neglego-NEW-01	v#00800930	bar from attention or consideration
SlaT-2867-n8	habeo	v#v-w73_MPf56_MP	habeo-07	v#00689950	
SlaT-2868-n1	subago	v#v-w1165_MPf1_MP	subigo-NEW-13	v#01650425	urge or force (a person) to an action; constrain or motivate
SlaT-2868-n7	fio	v#v-w565_MPf15_MP	fio-01	v#00149583	
2868a1	habeo	v#v-w73_MPf68_MP	habeo-NEW-25	TBD	hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity
SlaT-2868-n10	claudo	v#v-w609_MPf4_MP	claudo2-17	v#02423762	
SlaT-2868-n12	habeo	v#v-w73_MPf65_MP	habeo-NEW-25	TBD	hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity
SlaT-2868-n16	aestimo	v#v-w189_MPf4_MP	aestimo-03	v#00681429	
SlaT-2868-n24	habeo	v#v-w73_MPf15_MP	have-91		
2868a11	habeo	v#v-w73_MPf16_MP	have-91		
SlaT-2869-n2	cresco	v#v-w648_MPf4_MP	cresco-08	v#00555084	
SlaT-2869-n6	vindico	v#v-w24_MPf11_MP	uindico-11	v#02499629	
SlaT-2870-n3	invado	v#v-w733_MPf5_MP	inuado2-NEW-06	v#01380122	become distributed or widespread
SlaT-2870-n6	inmuto	v#v-w1115_MPf2_MP	immuto-NEW-01	v#00126264	cause to change; make different; cause a transformation
SlaT-2870-n8	facio	v#v-w76_MPf49_MP	facio-05	v#00120675	
SlaT-2870-n15	intolero	v#v-w1166_MPf1_MP	intolero-NEW-01		not bear
SlaT-2871-n2	exerceo	v#v-w251_MPf5_MP	exerceo-11	v#01765908	
2871a1	exerceo	v#v-w251_MPf5_MP	exerceo-11	v#01765908	
SlaT-2871-n9	sum	v#v-w2_MPf171_MP	identity-91		
SlaT-2872-n1	exopto	v#v-w1167_MPf1_MP	exopto-01	v#01828405	
SlaT-2873-n3	nitor	v#v-w332_MPf12_MP	nitor-06	v#02531199	
SlaT-2873-n7	contendo	v#v-w684_MPf6_MP	contendo-12	v#01146051	
SlaT-2873-n8	desum	v#v-w229_MPf9_MP	desum-NEW-03	v#02632567	be without, lack; be deficient in
SlaT-2874-n1	habeo	v#v-w73_MPf16_MP	habeo-18	v#02630189	
SlaT-2874-n3	studium	v#v-w59_MPf8_MP	studium-03	n#04945057	
SlaT-2874-n5	concupio	v#v-w1168_MPf1_MP	concupio-01	v#01828405	
SlaT-2874-n8	sapio	v#v-w195_MPf4_MP	sapio-01	v#00588888	
SlaT-2875-n2	effemino	v#v-w1170_MPf1_MP	effemino-02	v#00389856	
SlaT-2875-n4	inbuo	v#v-w1169_MPf1_MP	imbuo-NEW-01	v#00456151	fill, soak, or imbue totally
SlaT-2875-n12	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2875-n16	insatiabilis	v#v-w1171_MPf1_MP	insatiabilis-02	a#02078399	
SlaT-2875-n17	minuo	v#v-w524_MPf2_MP	minuo-05	v#00245059	
SlaT-2876-n3	habeo	v#v-w73_MPf15_MP	habeo-10	v#02203362	
SlaT-2876-n7	recipio	v#v-w96_MPf4_MP	recipio-07	v#01213614	
SlaT-2876-n15	rapio	v#v-w590_MPf2_MP	rapio-07	v#02344568	
SlaT-2876-n17	traho	v#v-w196_MPf7_MP	traho-25	v#02344568	
2876a4	cupio	v#v-w215_MPf6_MP	cupio-03/cupio-05	v#01825237/v#01828405	
SlaT-2876-n21	cupio	v#v-w215_MPf6_MP	cupio-03/cupio-05	v#01825237/v#01828405	
SlaT-2876-n24	habeo	v#v-w73_MPf16_MP	habeo-18	v#02630189	
SlaT-2876-n31	victor	v#v-w1172_MPf1_MP	uictor-01	n#09956578	
SlaT-2876-n32	facio	v#v-w76_MPf24_MP	facio-23	v#01712704	
SlaT-2877-n1	accedo	v#v-w75_MPf8_MP	accedo-02	v#00184511	
SlaT-2877-n3	habeo	v#v-w73_MPf16_MP	habeo-NEW-25		hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity
SlaT-2877-n8	ducto	v#v-w1173_MPf1_MP	ducto-05	v#02440244	
SlaT-2877-n11	facio	v#v-w76_MPf27_MP	facio-05	v#00120675	
SlaT-2877-n13	fidus	v#v-w1174_MPf2_MP			
SlaT-2878-n1	mollio	v#v-w1175_MPf1_MP	mollio-06	v#00389638	
SlaT-2879-n1	insuesco	v#v-w1176_MPf1_MP	insuesco-01	v#00273445	
SlaT-2879-n9	amo	v#v-w198_MPf5_MP	amo-06	v#01426397	
SlaT-2879-n10	poto	v#v-w1177_MPf2_MP	poto-02	v#01171183	
SlaT-2879-n11	miror	v#v-w1178_MPf1_MP	miror-05	v#02164694	
SlaT-2879-n14	pingo	v#v-w1179_MPf1_MP	pingo-01	v#00283911	
SlaT-2879-n16	caelo	v#v-w1180_MPf1_MP	caelo-03/caelo-04	v#01256600/v#01321895	
SlaT-2879-n17	rapio	v#v-w590_MPf3_MP	rapio-07	v#02344568	
SlaT-2879-n22	spolio	v#v-w1181_MPf1_MP	spolio-06	v#02344568	
SlaT-2879-n24	polluo	v#v-w1182_MPf1_MP	polluo-07	v#02568065	
SlaT-2880-n1	facio	v#v-w76_MPf23_MP	facio-26	v#01753788	
SlaT-2880-n5	adipiscor	v#v-w913_MPf4_MP	adipiscor-08	v#02526085	
SlaT-2880-n9	vinco	v#v-w143_MPf3_MP	uinco-05	v#01108148	
SlaT-2881-n1	fatigo	v#v-w776_MPf2_MP	fatigo-04	v#01765908	
SlaT-2881-n6	sapio	v#v-w195_MPf5_MP	sapio-01	v#00588888	
2882a4	fatigo	v#v-w776_MPf2_MP	fatigo-04	v#01765908	
SlaT-2882-n1	tempero	v#v-w747_MPf2_MP	tempero-09	v#02510337	
SlaT-2882-n4	corrumpo	v#v-w514_MPf5_MP	corrumpo-15	v#02579447	
SlaT-2883-n3	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761	
SlaT-2883-n5	sum	v#v-w2_MPf226_MP			
SlaT-2883-n7	sequor	v#v-w109_MPf45_MP	sequor-25	v#02720354	
SlaT-2883-n12	potentia	v#v-w313_MPf2_MP	potentia-04	n#05190804	
2883a2	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761	
SlaT-2883-n13	hebesco	v#v-w1183_MPf1_MP	hebesco-01	v#00193328	
2883a4	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761	
SlaT-2883-n16	habeo	v#v-w73_MPf58_MP	habeo-07	v#00689950	
SlaT-2883-n18	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761	
SlaT-2883-n20	duco	v#v-w115_MPf23_MP	duco-09	v#00690614	
SlaT-2884-n1	invado	v#v-w733_MPf6_MP	inuado2-05	v#02019716	
SlaT-2885-n2	rapio	v#v-w590_MPf2_MP	rapio-07	v#02344568	
SlaT-2885-n3	consumo	v#v-w523_MPf3_MP	consumo-20	v#02268351	
SlaT-2885-n4	pendeo	v#v-w681_MPf2_MP	pendo-NEW-13	v#00660971	
SlaT-2885-n7	cupio	v#v-w215_MPf6_MP	cupio-03/cupio-05	v#01825237/v#01828405	
2885a1	habeo	v#v-w73_MPf59_MP	pendo-05	v#00950431	
SlaT-2885-n15	habeo	v#v-w73_MPf20_MP			
SlaT-2885-n19	moderor	v#v-w1184_MPf1_MP	moderor-10	v#02510337	
SlaT-2886-n1	sum	v#v-w2_MPf123_MP	operae-pretrium-esse-NEW-01	-	be worth
SlaT-2886-n4	cognosco	v#v-w118_MPf24_MP	cognosco-02	v#00594337	
SlaT-2886-n8	exaedifico	v#v-w1185_MPf1_MP	exaedifico-02	v#01661243	
SlaT-2886-n11	viso	v#v-w813_MPf2_MP	uiso-03	v#02493030	
SlaT-2886-n14	facio	v#v-w76_MPf23_MP	facio-20	v#01654628	
2887a1	decoro	v#v-w1186_MPf1_MP	decoro-04	v#01675963	
SlaT-2887-n8	decoro	v#v-w1186_MPf1_MP	decoro-04	v#01675963	
SlaT-2887-n12	eripio	v#v-w588_MPf9_MP	eripio-04	v#00571596	
SlaT-2887-n14	vinco	v#v-w143_MPf3_MP	uinco-05	v#01108148	
SlaT-2887-n16	licentia	v#v-w1187_MPf1_MP	licentia-09	n#14483917	
SlaT-2888-n2	adimo	v#v-w1188_MPf1_MP	adimo-09	v#02314275	
SlaT-2888-n12	relinquo	v#v-w69_MPf18_MP	relinquo-NEW-08	v#02255462	let have
SlaT-2888-n16	victor	v#v-w1172_MPf1_MP	uictor-01	n#09956578	
2889a1	adimo	v#v-w1188_MPf1_MP	adimo-09	v#02314275	
SlaT-2889-n1	sum	v#v-w2_MPf162_MP	identity-91		
SlaT-2889-n4	facio	v#v-w76_MPf18_MP	facio-23	v#01712704	
SlaT-2889-n8	utor	v#v-w28_MPf7_MP	utor-11	v#02568672	
SlaT-2890-n1	memoro	v#v-w694_MPf10_MP	memoro-03	v#00953216	
SlaT-2890-n6	sum	v#v-w2_MPf99_MP	have-mod-91		
2890a1	sum	v#v-w2_MPf99_MP	have-mod-91		
2890a3	credibilis	v#v-w1139_MPf2_MP			
SlaT-2890-n9	video	v#v-w16_MPf32_MP	uideo-08	v#02128873	
SlaT-2890-n11	credibilis	v#v-w1139_MPf2_MP			
SlaT-2890-n14	subverto	v#v-w1163_MPf2_MP	subuerto-NEW-07	v#01307142	make level or straight
SlaT-2890-n18	consterno	v#v-w1189_MPf1_MP	consterno-04	v#01267098	
SlaT-2891-n1	video	v#v-w16_MPf60_MP	uideo-10	v#02133435	
SlaT-2891-n3	sum	v#v-w2_MPf226_MP	doppio dativo?		
SlaT-2892-n1	propero	v#v-w651_MPf11_MP	propero-NEW-06	v#00459296	urge to an unnatural speed
SlaT-2892-n3	abutor	v#v-w1091_MPf2_MP	abutor-10	v#02268351	
SlaT-2892-n5	habeo	v#v-w73_MPf20_MP	habeo-10	v#02203362	
SlaT-2893-n2	incedo	v#v-w765_MPf5_MP	incedo-04	v#01992503	
SlaT-2893-n3	libido	v#v-w1112_MPf7_MP	libido-03	n#07486628	
SlaT-2893-n7	cultus	v#v-w958_MPf3_MP			
SlaT-2894-n2	patior	v#v-w450_MPf7_MP	patior-10	v#02108026	
SlaT-2894-n5	habeo	v#v-w73_MPf16_MP	habeo-NEW-25	TBD	hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity
SlaT-2895-n1	exquiro	v#v-w1190_MPf1_MP	exquiro-10	v#02153709	
SlaT-2895-n2	causa	v#v-w258_MPf9_MP			
SlaT-2895-n3	vesco	v#v-w1191_MPf1_MP	uesco-05	v#01196653	
SlaT-2896-n1	dormio	v#v-w1192_MPf1_MP	dormio-02	v#00014742	
SlaT-2896-n3	sum	v#v-w2_MPf115_MP			
SlaT-2896-n4	cupido	v#v-w1129_MPf2_MP	cupido-NEW-07	n#07484265	the feeling that accompanies an unsatisfied state
SlaT-2897-n2	opperior	v#v-w1193_MPf1_MP	opperior-02	v#02637938	
SlaT-2897-n13	antecapio	v#v-w1194_MPf1_MP	antecapio-04	v#02565491	
SlaT-2898-n1	incendo	v#v-w762_MPf3_MP	incendo-05	v#02116118	
SlaT-2898-n4	deficio	v#v-w100_MPf3_MP	deficio-NEW-04	v#00561571	become used up; be exhausted
SlaT-2899-n1	careo	v#v-w453_MPf3_MP	careo-01	v#01196037	
SlaT-2899-n3	inbuo	v#v-w1169_MPf1_MP	imbuo-NEW-01	v#00456151	fill, soak, or imbue totally
SlaT-2899-n8	libido	v#v-w1112_MPf5_MP	libido-NEW-08		unlawful or inordinate desire, passion, caprice
SlaT-2900-n1	dedo	v#v-w790_MPf5_MP	dedo-02	v#00887463	
SlaT-2900-n7	quaestus	v#v-w1195_MPf1_MP	quaestus-03	n#13258362	
SlaT-2900-n8	sumptus	v#v-w1196_MPf1_MP	sumptus-01	n#01122601	
SlaT-2901-n1	habeo	v#v-w73_MPf32_MP	have-91		
SlaT-2901-n5	corrumpo	v#v-w514_MPf5_MP	corrumpo-15	v#02579447	
SlaT-2901-n10	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2901-n13	facio	v#v-w76_MPf30_MP	facio-23	v#01712704	
2901a5	habeo	v#v-w73_MPf16_MP	have-91		
SlaT-2902-n1	sum	v#v-w2_MPf237_MP	identity-91		
SlaT-2902-n5	lacero	v#v-w1197_MPf1_MP	lacero-NEW-19	v#02267529	spend completely
SlaT-2902-n15	conflo	v#v-w1198_MPf1_MP	conflo-NEW-16	v#02304982	get or gather together
SlaT-2902-n18	alienus	v#v-w1336_MPf3_MP			
SlaT-2902-n20	redimo	v#v-w1199_MPf1_MP	redimo-07	v#02284096	
SlaT-2902-n31	convinco	v#v-w94_MPf3_MP	conuinco-06	v#00906367	
SlaT-2902-n33	timeo	v#v-w567_MPf2_MP	timeo-01	v#01780202	
SlaT-2902-n34	facio	v#v-w76_MPf30_MP	facio-23	v#01712704	
SlaT-2902-n36	alo	v#v-w708_MPf2_MP	alo-13	v#01184625	
SlaT-2902-n48	exagito	v#v-w1200_MPf1_MP	exagito-12	v#01764171	
SlaT-2902-n53	conscius	v#v-w264_MPf3_MP			
SlaT-2903-n1	efficio	v#v-w476_MPf5_MP	efficio-02	v#00120675	
SlaT-2903-n2	incido^cado	v#v-w475_MPf3_MP	incido-NEW-01	v#00352558	finally be or do something
SlaT-2903-n4	vacuus	v#v-w1201_MPf1_MP			
SlaT-2903-n10	usus	v#v-w62_MPf8_MP	usus-02	n#00413239	
SlaT-2903-n15	par	v#v-w1067_MPf1_MP			
SlaT-2903-n16	similis	v#v-w311_MPf3_MP	similis-01	a#01410606	
SlaT-2904-n2	adpeto	v#v-w1202_MPf1_MP	appeto-04	v#01825237	
SlaT-2905-n1	capio	v#v-w106_MPf8_MP	capio-25	v#01480770	
SlaT-2905-n6	fluo	v#v-w741_MPf3_MP	fluo-17	v#02066510	
SlaT-2906-n3	flagro	v#v-w1203_MPf1_MP	flagro-NEW-12		burn (of passion or desire)
SlaT-2906-n4	studium	v#v-w59_MPf12_MP	studium-04	n#05670343	
SlaT-2906-n8	praebeo	v#v-w203_MPf3_MP	praebeo-05	v#01629000	
SlaT-2906-n11	mercor	v#v-w1204_MPf1_MP	mercor-01	v#02207206	
SlaT-2907-n1	parco	v#v-w621_MPf2_MP	parco-02	v#01196037	
SlaT-2907-n5	sumptus	v#v-w1196_MPf2_MP			
SlaT-2907-n10	facio	v#v-w76_MPf27_MP	facio-05	v#00120675	
SlaT-2907-n14	obnoxius	v#v-w1205_MPf1_MP			
SlaT-2907-n15	fidus	v#v-w1174_MPf2_MP			
SlaT-2908-n1	scio	v#v-w90_MPf13_MP	scio-04	v#00594621	
SlaT-2908-n2	sum	v#v-w2_MPf113_MP	exist-91		
SlaT-2908-n4	existimo	v#v-w591_MPf3_MP	existimo-03	v#00689344	
SlaT-2908-n7	habeo	v#v-w73_MPf16_MP	habeo-NEW-25	TBD	hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity
SlaT-2908-n9	frequento	v#v-w1206_MPf1_MP	frequento-06	v#01844431	
SlaT-2909-n2	valeo	v#v-w622_MPf4_MP	ualeo-07	v#02536557	
2909a1	valeo	v#v-w622_MPf5_MP	ualeo-07	v#02536557	
SlaT-2909-n7	comperio	v#v-w816_MPf2_MP	comperio-NEW-09	v#00721302	learn or discover with certainty
SlaT-2910-n1	facio	v#v-w76_MPf50_MP	facio-23	v#01712704	
SlaT-2911-n1	credo	v#v-w146_MPf9_MP	credo-02	v#00683280	
SlaT-2911-n3	capio	v#v-w106_MPf12_MP	capio-29	v#01806505	
SlaT-2911-n4	amor	v#v-w1207_MPf2_MP	amor2-05	n#07488340	
SlaT-2911-n7	laudo	v#v-w594_MPf6_MP	laudo-08	v#01023071	
SlaT-2911-n14	facio	v#v-w76_MPf16_MP	facio-05	v#00120675	
SlaT-2911-n15	dubito	v#v-w608_MPf3_MP	dubito-05	v#02640440	
SlaT-2911-n17	nubo	v#v-w1210_MPf1_MP	nubo-01	v#02488834	
SlaT-2911-n19	timeo	v#v-w567_MPf3_MP	timeo-01	v#01780202	
SlaT-2911-n22	adolesco	v#v-w1209_MPf1_MP	adolesco2-06	v#02540347	
SlaT-2911-n23	neco	v#v-w1208_MPf2_MP	neco-03	v#01323958	
SlaT-2911-n25	vacuus	v#v-w1201_MPf2_MP			
SlaT-2912-n1	video	v#v-w16_MPf60_MP	uideo-10	v#02133435	
SlaT-2912-n7	sum	v#v-w2_MPf100_MP	have-identity-91		
SlaT-2912-n8	causa	v#v-w258_MPf9_MP			
SlaT-2912-n9	maturo	v#v-w1044_MPf2_MP	maturo-NEW-04	v#00459296	urge to an unnatural speed
SlaT-2913-n2	sedo	v#v-w1211_MPf1_MP	sedo-05	v#01764800	
SlaT-2913-n7	infestus	v#v-w1367_MPf1_MP			
SlaT-2913-n13	vigilia	v#v-w1103_MPf4_MP	uigilia-05	n#14022959	
SlaT-2914-n1	vasto	v#v-w1102_MPf3_MP	uasto-02	v#00388635	
SlaT-2914-n3	conscientia	v#v-w1145_MPf3_MP	conscientia-05	n#13991245	
SlaT-2914-n5	excio	v#v-w1212_MPf1_MP	excio-06	v#01764171	disturb in mind or make uneasy or cause to be worried or alarmed
SlaT-2915-n8	cieo	v#v-w1213_MPf1_MP			
SlaT-2915-n12	incessus	v#v-w1214_MPf1_MP	incessus-04	n#00283568	
SlaT-2916-n1	insum	v#v-w150_MPf9_MP	have-location-91		
SlaT-2917-n2	edoceo	v#v-w553_MPf3_MP	edoceo-01	v#00829107	
SlaT-2917-n4	illicio	v#v-w224_MPf3_MP	illicio-01	v#00782527	
SlaT-2917-n6	dico	v#v-w9_MPf38_MP	dico2-18	v#01009240	
SlaT-2918-n1	commodo	v#v-w1215_MPf1_MP	commodo-07	v#02327200	
SlaT-2918-n4	testis	v#v-w1216_MPf1_MP	testis-02	n#10786517	
SlaT-2918-n5	signator	v#v-w1217_MPf1_MP	signator-01	n#10567268	
SlaT-2919-n1	habeo	v#v-w73_MPf59_MP	habeo-07	v#00689950	
SlaT-2920-n1	impero	v#v-w601_MPf3_MP	impero-03	v#00747135	
SlaT-2920-n3	attero	v#v-w1218_MPf1_MP	attero-NEW-13	v#01564144	
2921a1	impero	v#v-w601_MPf4_MP	impero-03	v#00747135	
SlaT-2921-n1	suppeto	v#v-w1219_MPf1_MP	suppeto-06	v#02669789	
SlaT-2921-n2	causa	v#v-w258_MPf9_MP			
SlaT-2921-n3	pecco	v#v-w704_MPf3_MP	pecco-06	v#02566528	
SlaT-2921-n6	circumvenio	v#v-w838_MPf2_MP	circumuenio-04	v#01126700	
SlaT-2921-n11	jugulo	v#v-w1220_MPf1_MP	iugulo-07/iugulo-10	v#01323958/v#02482425	
2921a8	circumvenio	v#v-w838_MPf2_MP	circumuenio-04	v#01126700	
2921a9	jugulo	v#v-w1220_MPf1_MP	iugulo-07/iugulo-10	v#01323958/v#02482425	
SlaT-2922-n1	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2922-n3	torpesco	v#v-w1221_MPf1_MP	torpesco-05	v#02417504	
SlaT-2923-n1	capio	v#v-w106_MPf14_MP	capio-NEW-55	v#01633343 	have the idea for
SlaT-2923-n2	confido	v#v-w918_MPf9_MP	confido-01	v#00688377	
SlaT-2923-n10	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2923-n12	alienus	v#v-w1336_MPf3_MP			
SlaT-2923-n16	exopto	v#v-w1167_MPf1_MP	exopto-01	v#01828405	
SlaT-2923-n21	utor	v#v-w28_MPf5_MP	utor-02	v#01158572 	
SlaT-2923-n24	memor	v#v-w1222_MPf1_MP	memor2-02	a#01977155	
SlaT-2923-n31	consilium	v#v-w316_MPf5_MP	consilium-12	n#05907682	
SlaT-2923-n32	opprimo	v#v-w703_MPf2_MP	opprimo-NEW-19	v#02402409	cause the downfall of; of rulers
SlaT-2924-n5	gero	v#v-w570_MPf10_MP	gero-15	v#02445509	
SlaT-2925-n3	peto	v#v-w564_MPf7_MP	peto-NEW-19	v#01825237	to be a candidate for office
SlaT-2925-n8	intendo	v#v-w29_MPf12_MP	intendo-06	v#00722232	
SlaT-2926-n3	tueor	v#v-w653_MPf3_MP	tueor-06/tueor-07/tueor-14	v#01128193/v#01129337/v#02280132	
SlaT-2927-n12	appello	v#v-w607_MPf5_MP	appello-09	v#00989201	
SlaT-2928-n1	hortor	v#v-w710_MPf6_MP	hortor-02	v#00771341	
SlaT-2928-n3	tento	v#v-w105_MPf4_MP	tempto-11	v#02531625	
SlaT-2929-n1	doceo	v#v-w165_MPf26_MP	doceo-05	v#00952524	
SlaT-2929-n10	conjuratio	v#v-w1094_MPf1_MP	coniuratio-05	n#05908882	
SlaT-2930-n1	convoco	v#v-w1096_MPf2_MP	conuoco-03/conuoco-04/conuoco-05	v#00793037/v#01380638/v#02598143	
SlaT-2930-n2	exploro	v#v-w1223_MPf1_MP	exploro-01	v#00648224	
SlaT-2930-n4	volo^velle	v#v-w383_MPf2_MP	uolo-01	v#00698398	
SlaT-2930-n8	insum	v#v-w150_MPf4_MP	have-location-91, or directly have-91		
SlaT-2930-n11	necessitudo	v#v-w1224_MPf1_MP	necessitudo-05	n#14493716	
SlaT-2931-n1	convenio	v#v-w93_MPf38_MP	conuenio-07	v#02428924	
2932a1	convenio	v#v-w93_MPf38_MP	conuenio-07	v#02428924	
2933a1	convenio	v#v-w93_MPf38_MP	conuenio-07	v#02428924	
SlaT-2934-n1	sum	v#v-w2_MPf115_MP	exist-91		
SlaT-2934-n7	particeps	v#v-w1097_MPf2_MP			
SlaT-2934-n8	consilium	v#v-w316_MPf1_MP	consilium-12	n#05907682	
SlaT-2934-n10	hortor	v#v-w710_MPf7_MP	hortor-05	v#01649999	
2934a3	hortor	v#v-w710_MPf7_MP	hortor-05	v#01649999	
SlaT-2934-n15	necessitudo	v#v-w1224_MPf1_MP	necessitudo-05	n#14493716	
SlaT-2934-n18	dominatio	v#v-w1144_MPf4_MP	dominatio-04	n#14442530	
SlaT-2935-n1	faveo	v#v-w887_MPf3_MP	faueo-01	v#00223374	
SlaT-2935-n8	incipio	v#v-w121_MPf22_MP	incipio-02	v#00348746	
SlaT-2936-n1	sum	v#v-w2_MPf123_MP	belong-91		
SlaT-2936-n3	vivo	v#v-w503_MPf2_MP	uiuo-NEW-01	v#02614387	lead a certain kind of life; live in a certain style
SlaT-2937-n4	malo	v#v-w611_MPf2_MP	malo-01	v#01826498	
2937a3	malo	v#v-w611_MPf2_MP	malo-01	v#01826498	
SlaT-2938-n1	sum	v#v-w2_MPf113_MP	exist-91		
SlaT-2938-n5	credo	v#v-w146_MPf16_MP	credo-01	v#00631737	
SlaT-2938-n7	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2938-n12	ignarus	v#v-w290_MPf3_MP			
SlaT-2938-n14	consilium	v#v-w316_MPf1_MP	consilium-12	n#05907682	
2939a1	sum	v#v-w2_MPf113_MP	have-mod-91		
2939a4	credo	v#v-w146_MPf16_MP	credo-01	v#00631737	
2939a5	volo^velle	v#v-w383_MPf6_MP	uolo-11	v#01825237	
SlaT-2939-n2	ducto	v#v-w1173_MPf2_MP	ducto-05	v#02440244	
SlaT-2939-n6	invisus	v#v-w1225_MPf1_MP			
SlaT-2939-n1	cresco	v#v-w648_MPf3_MP	cresco-03	v#00230746	
SlaT-2939-n12	potentia	v#v-w313_MPf6_MP	potentia-04	n#05190804	
SlaT-2939-n14	confido	v#v-w918_MPf8_MP	confido-02	v#00721098	
SlaT-2939-n16	valeo	v#v-w622_MPf4_MP	ualeo-05	v#02524171	
